Ár,Tekju- og gjaldaliðir,Tegund skipa,Rekstraryfirlit fiskveiða 1997-2024
1998,"EBITDA sem hlutfall af tekjum, %",Bátar > 200 brl.,24.2
1998,"EBITDA sem hlutfall af tekjum, %",Uppsjávarveiðiskip,24.0
1998,"EBITDA sem hlutfall af tekjum, %",Ísfisktogarar,14.5
1998,"EBITDA sem hlutfall af tekjum, %",Frystitogarar,23.0
1998,Afskriftir,Samtals,9638
1998,Afskriftir,Bátar undir 10 brl.,900
1998,Afskriftir,Bátar 10-200 brl.,2102
1998,Afskriftir,Bátar > 200 brl.,478
1998,Afskriftir,Uppsjávarveiðiskip,1342
1998,Afskriftir,Ísfisktogarar,1211
1998,Afskriftir,Frystitogarar,3606
1998,Verðbreytingarfærsla og vextir,Samtals,3428
1998,Verðbreytingarfærsla og vextir,Bátar undir 10 brl.,408
1998,Verðbreytingarfærsla og vextir,Bátar 10-200 brl.,663
1998,Verðbreytingarfærsla og vextir,Bátar > 200 brl.,204
1998,Verðbreytingarfærsla og vextir,Uppsjávarveiðiskip,389
1998,Verðbreytingarfærsla og vextir,Ísfisktogarar,392
1998,Verðbreytingarfærsla og vextir,Frystitogarar,1372
1998,Hreinn hagnaður (EBT),Samtals,670
1998,Hreinn hagnaður (EBT),Bátar undir 10 brl.,131
1998,Hreinn hagnaður (EBT),Bátar 10-200 brl.,-1152
1998,Hreinn hagnaður (EBT),Bátar > 200 brl.,28
1998,Hreinn hagnaður (EBT),Uppsjávarveiðiskip,475
1998,Hreinn hagnaður (EBT),Ísfisktogarar,-448
1998,Hreinn hagnaður (EBT),Frystitogarar,296
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Samtals,1.1
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar undir 10 brl.,2.0
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar 10-200 brl.,-8.7
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar > 200 brl.,1.0
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Uppsjávarveiðiskip,5.2
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Ísfisktogarar,-5.6
1998,"Hreinn hagnaður sem hlutfall af tekjum, %",Frystitogarar,1.3
1998,"Árgreiðsla, 6%",Samtals,9999.0
1998,"Árgreiðsla, 6%",Bátar undir 10 brl.,835.0
1998,"Árgreiðsla, 6%",Bátar 10-200 brl.,1869.0
1998,"Árgreiðsla, 6%",Bátar > 200 brl.,596.0
1998,"Árgreiðsla, 6%",Uppsjávarveiðiskip,1642.0
1998,"Árgreiðsla, 6%",Ísfisktogarar,1327.0
1998,"Árgreiðsla, 6%",Frystitogarar,3729.0
1998,Hreinn hagnaður - árgreiðsla,Samtals,2397
1998,Hreinn hagnaður - árgreiðsla,Bátar undir 10 brl.,604
1998,Hreinn hagnaður - árgreiðsla,Bátar 10-200 brl.,-257
1998,Hreinn hagnaður - árgreiðsla,Bátar > 200 brl.,115
1998,Hreinn hagnaður - árgreiðsla,Uppsjávarveiðiskip,564
1998,Hreinn hagnaður - árgreiðsla,Ísfisktogarar,-173
1998,Hreinn hagnaður - árgreiðsla,Frystitogarar,1544
1998,"sem hlutfall af tekjum, %",Samtals,3.8
1998,"sem hlutfall af tekjum, %",Bátar undir 10 brl.,9.4
1998,"sem hlutfall af tekjum, %",Bátar 10-200 brl.,-1.9
1998,"sem hlutfall af tekjum, %",Bátar > 200 brl.,3.9
1998,"sem hlutfall af tekjum, %",Uppsjávarveiðiskip,6.1
1998,"sem hlutfall af tekjum, %",Ísfisktogarar,-2.2
1998,"sem hlutfall af tekjum, %",Frystitogarar,6.7
1999,1. Tekjur alls,Samtals,64023
1999,1. Tekjur alls,Bátar undir 10 brl.,7445
1999,1. Tekjur alls,Bátar 10-200 brl.,15136
1999,1. Tekjur alls,Bátar > 200 brl.,3755
1999,1. Tekjur alls,Uppsjávarveiðiskip,5967
1999,1. Tekjur alls,Ísfisktogarar,8894
1999,1. Tekjur alls,Frystitogarar,22827
1999,1.1  Útflutningstekjur,Samtals,26775
1999,1.1  Útflutningstekjur,Bátar undir 10 brl.,211
1999,1.1  Útflutningstekjur,Bátar 10-200 brl.,2387
1999,1.1  Útflutningstekjur,Bátar > 200 brl.,665
1999,1.1  Útflutningstekjur,Uppsjávarveiðiskip,151
1999,1.1  Útflutningstekjur,Ísfisktogarar,2035
1999,1.1  Útflutningstekjur,Frystitogarar,21325
1999,1.2  Selt hráefni,Samtals,33954
1999,1.2  Selt hráefni,Bátar undir 10 brl.,6497
1999,1.2  Selt hráefni,Bátar 10-200 brl.,11615
1999,1.2  Selt hráefni,Bátar > 200 brl.,2990
1999,1.2  Selt hráefni,Uppsjávarveiðiskip,5735
1999,1.2  Selt hráefni,Ísfisktogarar,6703
1999,1.2  Selt hráefni,Frystitogarar,414
1999,1.3  Aðrar tekjur,Samtals,3294
1999,1.3  Aðrar tekjur,Bátar undir 10 brl.,737
1999,1.3  Aðrar tekjur,Bátar 10-200 brl.,1134
1999,1.3  Aðrar tekjur,Bátar > 200 brl.,99
1999,1.3  Aðrar tekjur,Uppsjávarveiðiskip,80
1999,1.3  Aðrar tekjur,Ísfisktogarar,156
1999,1.3  Aðrar tekjur,Frystitogarar,1088
1999,2  Gjöld alls,Samtals,52130
1999,2  Gjöld alls,Bátar undir 10 brl.,5494
1999,2  Gjöld alls,Bátar 10-200 brl.,13341
1999,2  Gjöld alls,Bátar > 200 brl.,2845
1999,2  Gjöld alls,Uppsjávarveiðiskip,5845
1999,2  Gjöld alls,Ísfisktogarar,7323
1999,2  Gjöld alls,Frystitogarar,17283
1999,2.1  Aflahlutir,Samtals,18693
1999,2.1  Aflahlutir,Bátar undir 10 brl.,1458
1999,2.1  Aflahlutir,Bátar 10-200 brl.,4797
1999,2.1  Aflahlutir,Bátar > 200 brl.,1067
1999,2.1  Aflahlutir,Uppsjávarveiðiskip,1775
1999,2.1  Aflahlutir,Ísfisktogarar,2510
1999,2.1  Aflahlutir,Frystitogarar,7086
1999,2.2  Önnur laun,Samtals,3828
1999,2.2  Önnur laun,Bátar undir 10 brl.,72
